recid,career span,,,,,,
1382526,0,,,,,,
989317,0,,,,,,
1644691,0,,,,,,
1513739,0,,,,,,
1382734,0,,,,,,
1382735,0,,,,,,
1644991,0,,,,,,
1645020,0,,,,,,
1645021,0,,,,,,
1645042,0,,,,,,
1645043,0,,,,,,
1645047,0,,,,,,
1645058,0,,,,,,
1645060,0,,,,,,
1382919,0,,,,,,
1383184,0,,,,,,
1383191,0,,,,,,
1645339,0,,,,,,
1645340,0,,,,,,
990149,0,,,,,,
990167,0,,,,,,
1645535,0,,,,,,
1645539,0,,,,,,
1645543,0,,,,,,
1645546,0,,,,,,
1645548,0,,,,,,
1645549,0,,,,,,
1645553,0,,,,,,
1645560,0,,,,,,
1645561,0,,,,,,
1514497,0,,,,,,
1645574,0,,,,,,
1514508,0,,,,,,
1514512,0,,,,,,
1191783,0,,,,,,
1514686,0,,,,,,
1645884,0,,,,,,
1383818,0,,,,,,
1252759,0,,,,,,
1646002,0,,,,,,
1646003,0,,,,,,
1646005,0,,,,,,
1646167,0,,,,,,
990898,0,,,,,,
1384155,0,,,,,,
1515306,0,,,,,,
1515313,0,,,,,,
1515316,0,,,,,,
1515319,0,,,,,,
1384322,0,,,,,,
1515442,0,,,,,,
1639150,0,,,,,,
1384456,0,,,,,,
1384461,0,,,,,,
1384506,0,,,,,,
1515584,0,,,,,,
1515586,0,,,,,,
1515589,0,,,,,,
1515590,0,,,,,,
1515591,0,,,,,,
1515600,0,,,,,,
1384559,0,,,,,,
1515648,0,,,,,,
1515652,0,,,,,,
1515653,0,,,,,,
1515660,0,,,,,,
1646828,0,,,,,,
1384738,0,,,,,,
1384740,0,,,,,,
1384741,0,,,,,,
1384744,0,,,,,,
1384746,0,,,,,,
1384747,0,,,,,,
1515856,0,,,,,,
1515877,0,,,,,,
991605,0,,,,,,
1515898,0,,,,,,
1515906,0,,,,,,
1515932,0,,,,,,
1647063,0,,,,,,
1647073,0,,,,,,
1647077,0,,,,,,
1647081,0,,,,,,
1647083,0,,,,,,
1647085,0,,,,,,
1647086,0,,,,,,
1647191,0,,,,,,
1647326,0,,,,,,
1647339,0,,,,,,
1385205,0,,,,,,
1516301,0,,,,,,
1385244,0,,,,,,
1647494,0,,,,,,
992135,0,,,,,,
1647504,0,,,,,,
1647525,0,,,,,,
1647628,0,,,,,,
1647629,0,,,,,,
1647642,0,,,,,,
1647643,0,,,,,,
1647667,0,,,,,,
1647671,0,,,,,,
1647676,0,,,,,,
1647679,0,,,,,,
1647680,0,,,,,,
1647682,0,,,,,,
1647684,0,,,,,,
1647691,0,,,,,,
1647694,0,,,,,,
1647696,0,,,,,,
1647697,0,,,,,,
1647701,0,,,,,,
1647703,0,,,,,,
1647705,0,,,,,,
1647706,0,,,,,,
1647711,0,,,,,,
1647712,0,,,,,,
1647714,0,,,,,,
1516644,0,,,,,,
1647717,0,,,,,,
1647718,0,,,,,,
1647720,0,,,,,,
1647743,0,,,,,,
1647745,0,,,,,,
992438,0,,,,,,
1516837,0,,,,,,
1647997,0,,,,,,
1648006,0,,,,,,
1648013,0,,,,,,
1648020,0,,,,,,
1648023,0,,,,,,
1648027,0,,,,,,
1648049,0,,,,,,
1498027,0,,,,,,
1454348,0,,,,,,
1648205,0,,,,,,
1648212,0,,,,,,
1648217,0,,,,,,
1648225,0,,,,,,
1648226,0,,,,,,
1648227,0,,,,,,
1517296,0,,,,,,
1648373,0,,,,,,
1648410,0,,,,,,
1648413,0,,,,,,
1517356,0,,,,,,
1648502,0,,,,,,
1648521,0,,,,,,
1648522,0,,,,,,
1648524,0,,,,,,
1648539,0,,,,,,
1648540,0,,,,,,
1648542,0,,,,,,
1648543,0,,,,,,
1648544,0,,,,,,
1386435,0,,,,,,
1648630,0,,,,,,
1648632,0,,,,,,
1648633,0,,,,,,
1648638,0,,,,,,
1648641,0,,,,,,
1648645,0,,,,,,
1648647,0,,,,,,
1648648,0,,,,,,
1648652,0,,,,,,
1648653,0,,,,,,
1648655,0,,,,,,
1648688,0,,,,,,
1648690,0,,,,,,
993338,0,,,,,,
1648700,0,,,,,,
1648702,0,,,,,,
1648703,0,,,,,,
1410748,0,,,,,,
993415,0,,,,,,
1648813,0,,,,,,
1648826,0,,,,,,
1648830,0,,,,,,
1648832,0,,,,,,
1648836,0,,,,,,
1648837,0,,,,,,
1648838,0,,,,,,
1648839,0,,,,,,
1648843,0,,,,,,
1648866,0,,,,,,
1648884,0,,,,,,
1648893,0,,,,,,
993678,0,,,,,,
1649173,0,,,,,,
1518110,0,,,,,,
1649186,0,,,,,,
1518189,0,,,,,,
1246436,0,,,,,,
1476408,0,,,,,,
1518569,0,,,,,,
1518798,0,,,,,,
1649886,0,,,,,,
1649887,0,,,,,,
1649899,0,,,,,,
1649914,0,,,,,,
1518867,0,,,,,,
1649940,0,,,,,,
1518878,0,,,,,,
1519009,0,,,,,,
1650087,0,,,,,,
1650109,0,,,,,,
994753,0,,,,,,
1388136,0,,,,,,
1246469,0,,,,,,
995107,0,,,,,,
1388468,0,,,,,,
1650727,0,,,,,,
1519669,0,,,,,,
1519673,0,,,,,,
1519679,0,,,,,,
1650788,0,,,,,,
1650803,0,,,,,,
1650808,0,,,,,,
1650809,0,,,,,,
1650813,0,,,,,,
1650816,0,,,,,,
1650824,0,,,,,,
1650825,0,,,,,,
1650827,0,,,,,,
1650828,0,,,,,,
1650829,0,,,,,,
1650832,0,,,,,,
1650833,0,,,,,,
1650834,0,,,,,,
1388790,0,,,,,,
